MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,OwnShots,OpponentShots,OwnPossession,OpponentPossession,OwnAttack,OwnDangerousAttack,OpponentAttack,OpponentDangerousAttack,PezzaliScore,GoalDifference,GD_Std,average_clustering,average_shortest_path,transitivity,node_connectivity,closeness_centrality,eigenvector_centrality,betweenness_centrality,small_world,small_world_std,AttackScore,AttackScore_1
1,Opponent1,win,1,0,home,Coach1,9,9,62,38,67,30,61,38,2,1,0.625,0.707303223,1.423076923,0.64,2,0.714468571,0.259778269,0.03525641,-0.018342821,0.527145178,0.537618637,0.240724763
2,Opponent2,tie,1,1,away,Coach1,7,19,35,65,60,31,70,53,2.5,0,0.5,0.566696566,1.450549451,0.585020243,0,0.613244909,0.245914554,0.043498168,-0.015625,0.55109902,0.175471698,0.090660377
3,Opponent3,loss,0,2,away,Coach1,7,18,43,57,68,30,102,49,0.791666667,-2,0.25,0.694603553,1.43956044,0.657963446,2,0.706414627,0.257003637,0.036630037,0.010259505,0.779235212,0.175510204,0.077430972
4,Opponent4,loss,0,3,home,Coach1,12,15,51,49,77,34,70,40,0.307692308,-3,0.125,0.713985614,1.373626374,0.676148796,3,0.739296684,0.259895381,0.031135531,-0.008359457,0.615134755,0.47685,0.210557143
5,Opponent5,loss,0,4,away,Coach1,7,16,51,49,59,21,68,39,0.425,-4,0,0.747334969,1.368131868,0.715320911,2,0.744065465,0.258725934,0.030677656,-0.009933775,0.601259315,0.238269231,0.084807692
6,Opponent6,win,2,1,home,Coach1,11,8,51,49,40,33,41,36,1.125,1,0.625,0.675976544,1.428571429,0.62622549,3,0.712431889,0.259221151,0.035714286,-0.002710027,0.664926685,0.456097561,0.376280488
7,Opponent7,loss,0,1,home,Coach1,23,5,63,37,87,61,77,30,0.125,-1,0.375,0.746565316,1.346153846,0.698602794,4,0.752995704,0.260734872,0.028846154,-0.003218884,0.660441812,1.447363636,1.014818182
8,Opponent8,tie,1,1,away,Coach1,13,11,53,47,62,30,67,34,0.857142857,0,0.5,0.682176831,1.406593407,0.711711712,1,0.640627931,0.24497484,0.039835165,-0.002380952,0.667827027,0.432748025,0.209394205
9,Opponent9,loss,2,5,home,Coach1,8,30,33,67,67,28,77,49,1.722222222,-3,0.125,0.589268018,1.379120879,0.617056856,0,0.64287792,0.250647627,0.037545788,0.035307645,1,0.164081633,0.068571429
10,Opponent10,loss,0,2,away,Coach2,16,9,59,41,56,40,59,30,0.196078431,-2,0.25,0.70408952,1.384615385,0.649237473,2,0.731916439,0.261237172,0.032051282,0.017802333,0.845714832,0.746666667,0.533333333
11,Opponent11,win,3,2,home,Coach2,10,11,38,62,71,38,71,43,1.454545455,1,0.625,0.646413107,1.351648352,0.569732938,0,0.645469122,0.261601076,0.03525641,0.009762901,0.774858333,0.335813953,0.179731412
12,Opponent12,tie,2,2,away,Coach2,8,16,31,69,72,31,88,52,1.888888889,0,0.5,0.559054539,1.593406593,0.528888889,3,0.644995445,0.248436086,0.049450549,0.00442964,0.727852997,0.151206294,0.06510271
13,Opponent13,loss,1,4,away,Coach2,5,17,33,67,45,20,62,44,1.2,-3,0.125,0.657315504,1.428571429,0.618251928,3,0.711663193,0.256471232,0.035714286,0.003584229,0.720401865,0.108870968,0.048387097
14,Opponent14,win,4,0,home,Coach2,8,7,44,56,61,29,70,37,4.444444444,4,1,0.656013828,1.450549451,0.652054795,2,0.702927636,0.250195074,0.037545788,-0.010326087,0.597801626,0.300525097,0.142872587
15,Opponent15,win,2,0,home,Coach3,6,5,47,53,63,25,69,39,2.571428571,2,0.75,0.689373283,1.456043956,0.655913978,3,0.702641138,0.253978107,0.038003663,-0.013046815,0.573822163,0.275083612,0.109160164
16,Opponent16,tie,1,1,away,Coach3,3,23,21,79,55,15,82,64,6,0,0.5,0.354187586,1.737179487,0.359813084,2,0.584395078,0.263709688,0.067016317,0.001751313,0.70424724,0.033012576,0.00900343
17,Opponent17,win,1,0,away,Coach3,7,16,45,55,56,47,57,46,4.25,1,0.625,0.68177495,1.406593407,0.710784314,1,0.630033076,0.241664619,0.039835165,-0.060491415,0.155663486,0.451716247,0.379118993
18,Opponent18,win,3,1,home,Coach3,12,8,51,49,79,35,64,22,1.384615385,2,0.75,0.719326068,1.371794872,0.682058047,3,0.741359827,0.268802725,0.033799534,0.005563282,0.737844487,1.001526989,0.443714489
19,Opponent3,tie,0,0,home,Coach3,5,25,32,68,79,36,71,51,4.333333333,0,0.5,0.653460827,1.43956044,0.643063584,4,0.710447018,0.252210772,0.036630037,-0.002906977,0.663190842,0.251333886,0.114531897
20,Opponent19,tie,0,0,away,Coach3,7,17,47,53,57,33,61,40,2.25,0,0.5,0.607597408,1.357142857,0.625,1,0.64259808,0.251850094,0.035714286,-0.000633128,0.683231683,0.36232377,0.209766393
21,Opponent6,loss,1,2,away,Coach3,6,19,53,47,76,35,61,37,1.904761905,-1,0.375,0.713627896,1.362637363,0.683991684,4,0.745918136,0.259959097,0.03021978,-0.002610966,0.665799771,0.624634471,0.287660611
22,Opponent5,loss,0,2,home,Coach3,12,21,39,61,65,27,74,41,0.564102564,-2,0.25,0.671145442,1.554945055,0.641104294,1,0.67113248,0.249473886,0.046245421,-0.014302691,0.562753349,0.225593276,0.093707976
23,Opponent4,loss,0,4,away,Coach3,7,20,39,61,60,16,76,38,0.525,-4,0,0.61727581,1.472527473,0.569732938,2,0.688226449,0.259468665,0.039377289,0.005235602,0.73495644,0.129639889,0.034570637
24,Opponent19,tie,1,1,home,Coach3,9,15,57,43,82,41,73,32,1.6,0,0.5,0.671436704,1.417582418,0.675417661,2,0.715362186,0.256471835,0.034798535,-0.028446389,0.438096169,0.820351027,0.410175514
25,Opponent10,win,2,1,home,Coach3,9,8,45,55,64,37,72,42,1.35,1,0.625,0.70256134,1.480769231,0.732786885,1,0.703619012,0.253788583,0.043706294,-0.043613707,0.304417192,0.352380952,0.203720238
26,Opponent9,loss,1,5,away,Coach3,11,15,42,58,90,49,79,30,0.444444444,-4,0,0.701881704,1.401098901,0.668949772,3,0.724862695,0.258185893,0.033424908,-0.024930748,0.469081693,0.781518987,0.425493671
27,Opponent12,win,3,1,home,Coach3,11,16,53,47,74,42,53,30,2.833333333,2,0.75,0.652086587,1.489010989,0.68579235,2,0.696455686,0.248062035,0.040750916,-0.006416125,0.632262545,1.036,0.588
28,Opponent11,loss,0,1,away,Coach3,7,13,46,54,51,34,63,41,0.875,-1,0.375,0.658976179,1.324175824,0.662857143,3,0.659456566,0.24807743,0.032967033,0.009563262,0.77309879,0.308803717,0.205869144
29,Opponent7,loss,1,2,away,Coach3,10,21,45,55,58,47,76,40,1.333333333,-1,0.375,0.673151187,1.313186813,0.659383033,0,0.677040659,0.252460834,0.032051282,-0.005518087,0.640177511,0.403519737,0.326990132
30,Opponent8,win,2,0,home,Coach3,13,10,59,41,69,37,54,26,2.357142857,2,0.75,0.658619714,1.489010989,0.681948424,2,0.694293551,0.246804003,0.040750916,-0.017597552,0.533713696,1.07284188,0.575292023
31,Opponent1,win,2,1,away,Coach3,17,9,56,44,76,47,74,39,0.833333333,1,0.625,0.763865338,1.450549451,0.694513716,1,0.707125767,0.251554032,0.037545788,-0.001821494,0.672757877,0.693111573,0.428634789
32,Opponent2,loss,1,3,home,Coach3,6,18,18,82,54,27,70,43,1.357142857,-2,0.25,0.496818929,1.758241758,0.395209581,1,0.57776751,0.254258582,0.063186813,-0.078153112,0,0.087189369,0.043594684
33,Opponent16,tie,0,0,home,Coach3,6,10,38,62,69,32,65,34,1.571428571,0,0.5,0.614663969,1.505494505,0.607255521,2,0.679999602,0.252866045,0.042124542,-0.018935978,0.521917318,0.379656109,0.176072398
34,Opponent18,tie,1,1,away,Coach3,12,17,49,51,52,38,58,41,1.384615385,0,0.5,0.692721325,1.472527473,0.688157895,1,0.692950095,0.252426043,0.039377289,-0.015037594,0.556276193,0.407165685,0.297544155
35,Opponent17,win,1,0,home,Coach3,9,10,57,43,80,38,71,40,2.2,1,0.625,0.715493169,1.263736264,0.744343891,0,0.706828905,0.252469094,0.027930403,-0.007357102,0.623969131,0.610140845,0.289816901
36,Opponent15,win,2,0,away,Coach3,7,9,46,54,99,36,104,48,3.75,2,0.75,0.736116703,1.423076923,0.704176334,3,0.720711679,0.252226479,0.03525641,-0.001878522,0.672255254,0.328413462,0.119423077
37,Opponent13,tie,1,1,home,Coach3,9,10,54,46,64,36,52,30,1.1,0,0.5,0.718609265,1.445054945,0.652291105,3,0.70619823,0.256078715,0.037087912,0.011206328,0.78758015,0.797538462,0.448615385
38,Opponent14,loss,1,3,away,Coach3,14,15,43,57,76,33,77,45,0.533333333,-2,0.25,0.741749845,1.472527473,0.630890052,2,0.694685304,0.255018508,0.039377289,-0.001381215,0.676638329,0.311238095,0.135142857
